index,City,Date,Card Type,Exp Type,Gender,Amount,Customer_Age,Education_Level,Marital_Status
2807,"Delhi, India",29-Jan-14,Silver,Entertainment,F,9503,50,Graduate,Unknown
2808,"Delhi, India",05-Apr-14,Platinum,Entertainment,M,93447,64,Unknown,Married
2809,"Ahmedabad, India",20-May-14,Gold,Food,M,4882,36,College,Single
2810,"Greater Mumbai, India",18-Jul-14,Silver,Fuel,F,15541,45,High School,Married
2811,"Delhi, India",27-Nov-13,Platinum,Grocery,M,167142,41,Graduate,Married
2812,"Ahmedabad, India",20-Jul-14,Gold,Grocery,M,70267,47,Graduate,Single
2813,"Delhi, India",06-Jan-15,Silver,Food,M,221745,39,Post-Graduate,Married
2814,"Bengaluru, India",27-Apr-15,Gold,Grocery,M,297452,51,Uneducated,Single
2815,"Delhi, India",16-Dec-13,Gold,Food,F,41669,55,High School,Single
2816,"Delhi, India",05-Nov-13,Signature,Grocery,M,79234,57,Graduate,Single
2817,"Delhi, India",05-Nov-14,Silver,Food,M,237680,36,Doctorate,Divorced
2818,"Greater Mumbai, India",14-Mar-15,Silver,Entertainment,F,125663,35,Unknown,Married
2819,"Greater Mumbai, India",08-Aug-14,Gold,Food,F,128839,38,Unknown,Single
2820,"Delhi, India",10-May-15,Signature,Bills,M,265126,39,Graduate,Single
2821,"Ahmedabad, India",16-Apr-14,Silver,Food,M,157833,65,Graduate,Married
2822,"Ahmedabad, India",10-Feb-15,Signature,Bills,F,220991,51,Uneducated,Married
2823,"Greater Mumbai, India",04-Dec-14,Signature,Bills,M,225176,50,High School,Married
2824,"Greater Mumbai, India",03-Apr-14,Gold,Food,M,119583,38,Graduate,Single
2825,"Greater Mumbai, India",15-Oct-13,Signature,Food,M,35155,36,Unknown,Single
2826,"Greater Mumbai, India",21-Feb-15,Silver,Bills,M,176298,41,Uneducated,Married
2827,"Greater Mumbai, India",05-Sep-14,Gold,Bills,F,168927,40,Graduate,Single
2828,"Ahmedabad, India",18-Mar-14,Signature,Grocery,F,77131,40,Doctorate,Married
2829,"Delhi, India",20-Jan-14,Signature,Entertainment,M,203480,26,Unknown,Single
2830,"Greater Mumbai, India",09-Apr-15,Silver,Entertainment,M,23089,46,Uneducated,Single
2831,"Ahmedabad, India",15-Feb-15,Signature,Food,F,154671,49,Graduate,Married
2832,"Delhi, India",18-Oct-14,Gold,Fuel,F,47677,38,Unknown,Divorced
2833,"Bengaluru, India",26-Feb-15,Silver,Fuel,F,50870,49,Graduate,Married
2834,"Greater Mumbai, India",10-Apr-15,Silver,Fuel,F,120226,38,Graduate,Divorced
2835,"Greater Mumbai, India",06-Aug-14,Platinum,Entertainment,F,100781,36,Unknown,Single
2836,"Greater Mumbai, India",23-Jun-14,Silver,Entertainment,F,19392,34,Unknown,Single
2837,"Delhi, India",18-Jan-15,Platinum,Entertainment,F,269169,52,Graduate,Single
2838,"Delhi, India",27-Dec-13,Platinum,Food,F,199816,40,Graduate,Single
2839,"Bengaluru, India",14-Nov-13,Signature,Bills,F,107325,36,Uneducated,Married
2840,"Bengaluru, India",27-Jan-14,Gold,Food,F,290435,53,High School,Single
2841,"Bengaluru, India",01-Dec-13,Silver,Fuel,M,79875,40,Unknown,Married
2842,"Greater Mumbai, India",07-Oct-13,Platinum,Bills,F,212803,54,Graduate,Married
2843,"Bengaluru, India",04-Nov-13,Gold,Grocery,M,42697,34,College,Single
2844,"Ahmedabad, India",02-Mar-15,Platinum,Fuel,F,202077,62,Unknown,Single
2845,"Ahmedabad, India",14-Oct-14,Silver,Entertainment,M,134634,39,College,Single
2846,"Ahmedabad, India",26-Jan-15,Silver,Fuel,F,175333,50,Graduate,Married
2847,"Bengaluru, India",07-May-15,Silver,Grocery,M,164063,36,Uneducated,Divorced
2848,"Bengaluru, India",09-Aug-14,Gold,Food,F,118491,56,Graduate,Married
2849,"Bengaluru, India",19-Nov-14,Silver,Grocery,F,286456,44,Graduate,Single
2850,"Delhi, India",21-May-14,Gold,Fuel,M,206972,45,College,Married
2851,"Bengaluru, India",05-May-14,Platinum,Bills,M,131247,36,Graduate,Single
2852,"Greater Mumbai, India",08-Dec-14,Silver,Grocery,F,149007,44,Uneducated,Married
2853,"Bengaluru, India",04-Jan-14,Platinum,Fuel,F,65269,52,Graduate,Single
2854,"Greater Mumbai, India",10-Dec-13,Signature,Fuel,F,253895,50,Graduate,Married
2855,"Bengaluru, India",01-Feb-14,Gold,Bills,M,181864,53,Graduate,Single
2856,"Ahmedabad, India",03-Nov-14,Silver,Entertainment,M,214376,36,Unknown,Married
2857,"Delhi, India",19-Mar-14,Signature,Grocery,F,59308,27,College,Divorced
2858,"Greater Mumbai, India",14-Oct-13,Gold,Bills,F,16263,31,College,Divorced
2859,"Greater Mumbai, India",16-Jan-14,Signature,Grocery,F,230547,36,Unknown,Single
2860,"Ahmedabad, India",26-Jan-14,Platinum,Bills,M,44960,41,High School,Single
2861,"Bengaluru, India",25-Sep-14,Gold,Food,F,241639,28,Uneducated,Single
2862,"Bengaluru, India",11-Dec-14,Signature,Grocery,F,47839,59,High School,Married
2863,"Ahmedabad, India",24-Oct-13,Silver,Entertainment,F,261231,43,Uneducated,Unknown
2864,"Bengaluru, India",12-Mar-15,Gold,Bills,F,105952,41,Unknown,Married
2865,"Ahmedabad, India",22-Jan-15,Silver,Fuel,M,40264,46,Graduate,Married
2866,"Bengaluru, India",19-Jul-14,Platinum,Grocery,M,220568,51,Unknown,Married
2867,"Greater Mumbai, India",23-Feb-15,Gold,Grocery,M,37547,44,High School,Married
2868,"Bengaluru, India",20-Aug-14,Platinum,Bills,F,2119,40,Graduate,Married
2869,"Greater Mumbai, India",12-Oct-13,Platinum,Grocery,M,26699,32,High School,Married
2870,"Delhi, India",08-Nov-14,Silver,Grocery,M,180103,48,Uneducated,Single
2871,"Ahmedabad, India",15-May-15,Silver,Bills,F,171452,58,Unknown,Married
2872,"Greater Mumbai, India",22-Oct-13,Platinum,Bills,M,190123,37,High School,Single
2873,"Ahmedabad, India",30-May-14,Silver,Fuel,F,84429,51,Unknown,Married
2874,"Delhi, India",09-Dec-13,Signature,Grocery,F,54150,43,Unknown,Married
2875,"Greater Mumbai, India",20-Jun-14,Silver,Fuel,M,294587,41,Uneducated,Single
2876,"Greater Mumbai, India",13-Nov-13,Silver,Entertainment,M,260146,51,Graduate,Divorced
2877,"Bengaluru, India",03-Sep-14,Platinum,Grocery,M,152088,52,Doctorate,Married
2878,"Delhi, India",30-Apr-15,Platinum,Bills,F,42445,61,High School,Single
2879,"Greater Mumbai, India",11-Feb-14,Silver,Grocery,F,283335,49,Post-Graduate,Single
2880,"Bengaluru, India",31-Dec-13,Gold,Food,F,290390,36,High School,Single
2881,"Bengaluru, India",19-Dec-13,Platinum,Bills,F,213620,35,Graduate,Married
2882,"Ahmedabad, India",21-Dec-13,Signature,Grocery,F,81138,63,High School,Married
2883,"Ahmedabad, India",26-Jun-14,Platinum,Entertainment,F,168482,36,Post-Graduate,Married
2884,"Bengaluru, India",14-Mar-15,Platinum,Entertainment,F,290859,33,Graduate,Single
2885,"Bengaluru, India",26-Oct-13,Silver,Grocery,M,248719,33,Graduate,Single
2886,"Ahmedabad, India",27-Apr-15,Silver,Food,M,144627,65,High School,Single
2887,"Ahmedabad, India",24-Aug-14,Gold,Food,M,297849,61,Graduate,Married
2888,"Greater Mumbai, India",06-Nov-14,Platinum,Food,F,42955,44,Graduate,Unknown
2889,"Ahmedabad, India",07-Dec-14,Platinum,Grocery,F,271539,38,Doctorate,Single
2890,"Delhi, India",12-Mar-15,Platinum,Fuel,M,158360,41,Uneducated,Single
2891,"Delhi, India",16-Feb-15,Silver,Food,M,163169,44,Uneducated,Married
2892,"Delhi, India",16-May-14,Platinum,Bills,F,230157,41,Unknown,Single
2893,"Ahmedabad, India",14-Jan-15,Silver,Grocery,M,192173,45,Unknown,Single
2894,"Bengaluru, India",09-Feb-14,Signature,Grocery,F,93874,37,Post-Graduate,Single
2895,"Ahmedabad, India",05-Mar-15,Platinum,Fuel,M,219107,51,Unknown,Single
2896,"Delhi, India",16-May-14,Platinum,Food,F,203363,65,Uneducated,Single
2897,"Greater Mumbai, India",19-Oct-14,Platinum,Fuel,M,295181,37,Graduate,Single
2898,"Greater Mumbai, India",05-Sep-14,Gold,Bills,M,87122,54,Unknown,Married
2899,"Greater Mumbai, India",26-Aug-14,Platinum,Food,M,222272,46,Graduate,Married
2900,"Ahmedabad, India",08-Mar-14,Gold,Bills,F,15357,41,Unknown,Single
2901,"Bengaluru, India",07-Oct-13,Gold,Bills,F,186328,49,Unknown,Single
2902,"Delhi, India",12-Dec-14,Gold,Fuel,M,99863,51,Graduate,Married
2903,"Bengaluru, India",08-Apr-15,Gold,Grocery,M,142220,50,High School,Single
2904,"Ahmedabad, India",30-Jul-14,Gold,Food,M,275334,48,High School,Married
2905,"Greater Mumbai, India",01-Sep-14,Silver,Fuel,F,245883,53,Graduate,Married
2906,"Bengaluru, India",13-Mar-14,Silver,Food,F,15986,54,Post-Graduate,Single
2907,"Ahmedabad, India",04-Aug-14,Platinum,Entertainment,F,234156,46,Unknown,Single
2908,"Ahmedabad, India",04-Oct-14,Silver,Entertainment,F,193288,47,High School,Single
2909,"Ahmedabad, India",04-Mar-15,Gold,Entertainment,F,58839,52,Graduate,Married
2910,"Delhi, India",27-Jan-14,Silver,Food,M,240737,43,Graduate,Single
2911,"Greater Mumbai, India",28-Feb-15,Signature,Entertainment,M,289326,41,Uneducated,Divorced
2912,"Delhi, India",01-Mar-14,Signature,Food,F,96328,34,Post-Graduate,Unknown
2913,"Ahmedabad, India",17-Feb-14,Gold,Grocery,F,247435,33,College,Single
2914,"Bengaluru, India",25-May-15,Silver,Grocery,M,206108,49,High School,Unknown
2915,"Bengaluru, India",25-Jul-14,Signature,Entertainment,M,104375,44,Doctorate,Single
2916,"Greater Mumbai, India",01-Dec-13,Gold,Entertainment,M,160114,36,Uneducated,Divorced
2917,"Delhi, India",17-Feb-15,Silver,Fuel,F,291382,37,High School,Single
2918,"Greater Mumbai, India",06-Oct-14,Gold,Entertainment,F,113496,46,Unknown,Divorced
2919,"Delhi, India",28-Oct-14,Silver,Entertainment,F,252139,65,Uneducated,Single
2920,"Delhi, India",28-Sep-14,Signature,Food,F,26552,52,College,Married
2921,"Delhi, India",19-Oct-14,Silver,Food,M,142566,50,Uneducated,Married
2922,"Ahmedabad, India",20-Jan-14,Silver,Food,M,259325,59,Uneducated,Single
2923,"Bengaluru, India",17-May-15,Silver,Fuel,F,112053,37,Unknown,Single
2924,"Bengaluru, India",08-Apr-15,Gold,Entertainment,M,209198,40,Graduate,Unknown
2925,"Greater Mumbai, India",02-Oct-14,Signature,Fuel,F,101193,40,High School,Married
2926,"Delhi, India",07-Mar-15,Signature,Bills,M,157676,59,Doctorate,Single
2927,"Delhi, India",24-May-15,Platinum,Grocery,M,286018,52,College,Married
2928,"Delhi, India",20-Apr-14,Signature,Fuel,F,56401,43,Unknown,Unknown
2929,"Bengaluru, India",25-Jan-15,Signature,Grocery,F,121401,48,Graduate,Married
2930,"Bengaluru, India",11-May-15,Gold,Grocery,F,107424,45,Graduate,Unknown
2931,"Delhi, India",02-Nov-14,Platinum,Food,F,116464,30,Graduate,Divorced
2932,"Ahmedabad, India",19-Nov-14,Gold,Bills,F,49468,41,High School,Single
2933,"Bengaluru, India",03-Feb-15,Signature,Entertainment,M,85645,51,Unknown,Single
2934,"Delhi, India",11-Mar-15,Signature,Fuel,M,120886,46,Graduate,Married
2935,"Ahmedabad, India",26-Jan-15,Platinum,Grocery,M,46402,50,Unknown,Married
2936,"Delhi, India",21-May-14,Silver,Bills,F,164016,31,College,Married
2937,"Ahmedabad, India",15-Nov-13,Platinum,Entertainment,M,104541,48,High School,Single
2938,"Bengaluru, India",30-May-14,Gold,Entertainment,F,201673,39,Unknown,Married
2939,"Ahmedabad, India",08-Jun-14,Platinum,Fuel,F,128562,50,Unknown,Married
2940,"Bengaluru, India",18-May-14,Gold,Food,F,127105,47,Unknown,Single
2941,"Greater Mumbai, India",13-Mar-14,Silver,Grocery,M,134244,53,High School,Single
2942,"Ahmedabad, India",02-May-15,Platinum,Grocery,F,281294,45,Graduate,Married
2943,"Ahmedabad, India",05-Sep-14,Platinum,Entertainment,M,265186,46,Graduate,Single
2944,"Greater Mumbai, India",26-Mar-15,Silver,Entertainment,M,143975,34,Graduate,Single
2945,"Bengaluru, India",15-Dec-13,Signature,Fuel,M,31004,39,Uneducated,Married
2946,"Greater Mumbai, India",06-Feb-15,Gold,Entertainment,M,289936,62,Unknown,Married
2947,"Bengaluru, India",17-Sep-14,Gold,Entertainment,M,209329,53,Uneducated,Married
2948,"Bengaluru, India",20-Nov-14,Signature,Grocery,M,143274,51,Graduate,Married
2949,"Bengaluru, India",16-Nov-13,Platinum,Bills,M,119631,34,High School,Single
2950,"Bengaluru, India",10-May-14,Silver,Grocery,F,15157,44,Doctorate,Single
2951,"Greater Mumbai, India",04-Feb-14,Gold,Fuel,F,2416,49,High School,Single
2952,"Ahmedabad, India",23-Apr-14,Platinum,Entertainment,M,147691,26,Graduate,Divorced
2953,"Ahmedabad, India",02-Jul-14,Silver,Grocery,F,297434,56,College,Single
2954,"Delhi, India",16-Nov-13,Platinum,Grocery,M,244144,52,High School,Divorced
2955,"Delhi, India",12-Jan-14,Signature,Bills,F,17715,65,High School,Single
2956,"Bengaluru, India",15-Mar-14,Signature,Food,M,168822,65,Unknown,Single
2957,"Ahmedabad, India",27-Apr-14,Silver,Fuel,M,236286,35,College,Single
2958,"Greater Mumbai, India",06-Dec-14,Silver,Grocery,M,248765,48,Graduate,Single
2959,"Bengaluru, India",07-Apr-15,Silver,Fuel,F,276934,53,Graduate,Single
2960,"Greater Mumbai, India",12-Jun-14,Gold,Grocery,M,161595,38,Uneducated,Married
2961,"Ahmedabad, India",11-Dec-13,Platinum,Fuel,M,282556,50,College,Single
2962,"Bengaluru, India",12-May-15,Platinum,Grocery,F,62646,46,Uneducated,Married
2963,"Ahmedabad, India",02-Jun-14,Platinum,Food,M,127088,48,Graduate,Single
2964,"Bengaluru, India",27-Jan-14,Signature,Bills,M,219026,36,Graduate,Married
2965,"Ahmedabad, India",19-Apr-14,Signature,Entertainment,M,50735,41,Post-Graduate,Single
2966,"Delhi, India",31-Mar-14,Platinum,Grocery,M,208930,60,Unknown,Married
2967,"Ahmedabad, India",07-Nov-14,Gold,Grocery,M,254967,49,Unknown,Single
2968,"Ahmedabad, India",23-May-15,Gold,Bills,F,171642,45,High School,Unknown
2969,"Ahmedabad, India",17-Aug-14,Silver,Food,M,217636,36,College,Single
2970,"Greater Mumbai, India",07-Oct-14,Silver,Fuel,M,263875,49,Graduate,Married
2971,"Ahmedabad, India",15-Dec-14,Gold,Entertainment,F,238303,43,High School,Single
2972,"Greater Mumbai, India",10-Jan-15,Gold,Grocery,F,286393,58,High School,Married
2973,"Greater Mumbai, India",03-Jan-15,Platinum,Grocery,M,263990,46,High School,Divorced
2974,"Ahmedabad, India",29-Oct-13,Signature,Entertainment,F,83901,50,Graduate,Single
2975,"Greater Mumbai, India",02-Jan-14,Signature,Entertainment,F,140666,43,Graduate,Single
2976,"Delhi, India",18-Aug-14,Signature,Food,M,67899,57,College,Single
2977,"Delhi, India",23-Oct-13,Silver,Bills,M,155862,30,Unknown,Married
2978,"Greater Mumbai, India",04-Nov-13,Platinum,Bills,F,3670,48,Unknown,Married
2979,"Greater Mumbai, India",26-May-14,Gold,Grocery,M,157102,51,Doctorate,Single
2980,"Bengaluru, India",05-Oct-13,Platinum,Food,M,183626,46,Unknown,Divorced
2981,"Bengaluru, India",08-May-14,Signature,Bills,M,30710,46,College,Married
2982,"Greater Mumbai, India",05-Dec-14,Gold,Grocery,F,109664,45,Unknown,Married
2983,"Bengaluru, India",07-Jun-14,Silver,Food,F,175746,52,College,Married
2984,"Bengaluru, India",18-Apr-14,Platinum,Fuel,M,281899,48,Graduate,Married
2985,"Greater Mumbai, India",03-May-14,Gold,Fuel,M,238770,47,Unknown,Single
2986,"Ahmedabad, India",07-May-14,Signature,Grocery,M,199635,49,High School,Married
2987,"Greater Mumbai, India",08-Jun-14,Signature,Grocery,M,173060,43,Unknown,Married
2988,"Delhi, India",05-Nov-13,Silver,Grocery,F,279342,47,Uneducated,Single
2989,"Bengaluru, India",18-Dec-14,Silver,Bills,M,185073,55,Unknown,Married
2990,"Bengaluru, India",03-Sep-14,Gold,Food,F,183028,41,Post-Graduate,Married
2991,"Ahmedabad, India",25-Feb-15,Silver,Grocery,F,159278,44,High School,Married
2992,"Delhi, India",18-Jun-14,Signature,Bills,F,118968,35,Uneducated,Married
2993,"Bengaluru, India",17-Feb-14,Signature,Entertainment,F,223493,40,Unknown,Married
2994,"Bengaluru, India",15-Dec-13,Gold,Bills,M,207537,32,High School,Single
2995,"Ahmedabad, India",01-May-15,Platinum,Fuel,F,39734,50,Unknown,Married
2996,"Delhi, India",27-Jan-15,Signature,Fuel,F,183852,38,College,Single
2997,"Delhi, India",22-May-14,Gold,Grocery,F,3681,39,High School,Single
2998,"Bengaluru, India",09-May-15,Platinum,Entertainment,F,277307,48,Graduate,Divorced
2999,"Delhi, India",15-Apr-14,Silver,Entertainment,F,85608,52,College,Single
3000,"Bengaluru, India",08-Oct-13,Gold,Fuel,M,156732,49,Graduate,Unknown
3001,"Greater Mumbai, India",17-Oct-13,Signature,Bills,M,7795,46,Graduate,Single
3002,"Delhi, India",19-Feb-15,Platinum,Bills,F,60206,38,Doctorate,Married
3003,"Delhi, India",18-Feb-15,Gold,Grocery,F,177311,60,College,Single
3004,"Greater Mumbai, India",25-Oct-13,Signature,Bills,F,70885,48,High School,Single
3005,"Greater Mumbai, India",16-May-15,Gold,Grocery,F,228369,45,Graduate,Single
3006,"Delhi, India",06-Jan-15,Gold,Grocery,M,90914,47,Unknown,Unknown
3007,"Ahmedabad, India",22-May-14,Silver,Entertainment,M,280442,43,Doctorate,Divorced
3008,"Delhi, India",23-Nov-14,Gold,Bills,M,128207,41,Graduate,Married
3009,"Greater Mumbai, India",27-Mar-14,Signature,Food,F,108424,53,Unknown,Single
3010,"Ahmedabad, India",17-Jan-15,Signature,Food,F,110328,50,Post-Graduate,Married
3011,"Bengaluru, India",23-Oct-13,Platinum,Grocery,F,231686,56,Graduate,Married
3012,"Bengaluru, India",10-Mar-15,Gold,Fuel,F,291321,63,Uneducated,Unknown
3013,"Bengaluru, India",13-Feb-15,Platinum,Food,M,229882,53,High School,Single
3014,"Ahmedabad, India",31-May-14,Gold,Bills,F,141607,35,High School,Married
3015,"Delhi, India",18-Mar-15,Silver,Entertainment,F,169602,51,College,Married
3016,"Delhi, India",11-Jun-14,Platinum,Grocery,M,21444,51,Graduate,Single
3017,"Delhi, India",02-Jun-14,Signature,Entertainment,F,150902,44,Unknown,Single
3018,"Ahmedabad, India",21-Feb-15,Signature,Food,M,150275,38,Graduate,Single
3019,"Bengaluru, India",17-Feb-15,Gold,Fuel,F,94017,40,Graduate,Divorced
3020,"Greater Mumbai, India",06-Jan-15,Gold,Entertainment,M,259231,48,Graduate,Divorced
3021,"Delhi, India",29-May-14,Signature,Bills,F,58629,42,High School,Single
3022,"Bengaluru, India",30-May-14,Silver,Fuel,M,70532,50,Graduate,Married
3023,"Delhi, India",24-Jan-14,Gold,Entertainment,M,202218,54,Graduate,Single
3024,"Bengaluru, India",10-Dec-14,Signature,Entertainment,M,162448,38,High School,Single
3025,"Delhi, India",29-Mar-15,Silver,Grocery,F,2178,55,Post-Graduate,Single
3026,"Bengaluru, India",20-Sep-14,Silver,Fuel,M,163153,46,High School,Married
3027,"Ahmedabad, India",24-Nov-13,Gold,Bills,F,147617,49,Doctorate,Married
3028,"Greater Mumbai, India",11-Oct-13,Platinum,Entertainment,M,122576,38,Unknown,Single
3029,"Greater Mumbai, India",18-Sep-14,Signature,Entertainment,M,110572,50,Uneducated,Divorced
3030,"Bengaluru, India",29-Oct-14,Signature,Grocery,M,61100,40,Graduate,Single
3031,"Delhi, India",02-Sep-14,Gold,Fuel,F,171080,32,High School,Single
3032,"Bengaluru, India",27-Nov-13,Platinum,Entertainment,M,223697,49,Graduate,Single
3033,"Ahmedabad, India",15-Dec-13,Gold,Fuel,F,296794,53,Post-Graduate,Married
3034,"Bengaluru, India",10-Apr-14,Signature,Bills,M,98975,57,Graduate,Married
3035,"Delhi, India",17-Mar-14,Platinum,Grocery,F,251448,64,Graduate,Single
3036,"Delhi, India",10-Sep-14,Silver,Fuel,F,282223,34,Unknown,Unknown
3037,"Delhi, India",29-Apr-14,Gold,Grocery,M,141734,43,Uneducated,Single
3038,"Delhi, India",27-Oct-14,Silver,Food,F,108932,42,Doctorate,Married
3039,"Ahmedabad, India",24-Dec-13,Silver,Fuel,M,148086,48,Uneducated,Single
3040,"Bengaluru, India",23-Apr-15,Silver,Bills,F,236485,49,High School,Single
3041,"Greater Mumbai, India",15-Jul-14,Signature,Entertainment,F,129447,57,College,Single
3042,"Greater Mumbai, India",13-Sep-14,Signature,Grocery,M,76106,44,Graduate,Single
3043,"Delhi, India",10-Apr-15,Silver,Food,M,297484,63,Graduate,Single
3044,"Greater Mumbai, India",05-Apr-15,Platinum,Bills,F,34460,43,Graduate,Single
3045,"Greater Mumbai, India",26-Feb-15,Silver,Bills,F,216720,33,High School,Single
3046,"Bengaluru, India",28-Nov-13,Gold,Grocery,M,192116,55,Graduate,Single
3047,"Bengaluru, India",09-Oct-14,Gold,Fuel,M,286058,50,Graduate,Married
3048,"Bengaluru, India",12-Mar-15,Signature,Fuel,M,260290,49,Unknown,Unknown
3049,"Ahmedabad, India",08-Apr-14,Silver,Food,F,43471,48,Post-Graduate,Unknown
3050,"Greater Mumbai, India",08-Dec-14,Gold,Food,F,103785,47,High School,Unknown
3051,"Greater Mumbai, India",04-Aug-14,Platinum,Entertainment,F,70775,35,Uneducated,Single
3052,"Ahmedabad, India",25-Apr-15,Gold,Entertainment,M,79105,31,Graduate,Single
3053,"Delhi, India",14-Mar-15,Gold,Food,M,165180,50,Uneducated,Single
3054,"Ahmedabad, India",14-Sep-14,Signature,Entertainment,F,102263,38,Graduate,Single
3055,"Bengaluru, India",30-Apr-14,Silver,Bills,M,144188,39,Graduate,Single
3056,"Ahmedabad, India",07-Apr-15,Platinum,Entertainment,M,104261,52,High School,Single
3057,"Greater Mumbai, India",15-Sep-14,Platinum,Fuel,F,168517,49,Graduate,Married
3058,"Bengaluru, India",01-Feb-14,Gold,Entertainment,F,65425,49,Uneducated,Married
3059,"Ahmedabad, India",31-Aug-14,Silver,Fuel,F,100298,44,High School,Divorced
3060,"Bengaluru, India",17-Oct-13,Gold,Food,F,51857,36,Graduate,Single
3061,"Bengaluru, India",27-Aug-14,Platinum,Fuel,M,235755,44,Unknown,Married
3062,"Greater Mumbai, India",05-Aug-14,Gold,Grocery,M,290078,44,Graduate,Single
3063,"Delhi, India",07-Nov-14,Silver,Entertainment,M,182882,35,Uneducated,Single
3064,"Delhi, India",25-Feb-14,Platinum,Fuel,F,203910,45,Graduate,Married
3065,"Ahmedabad, India",13-Apr-15,Silver,Fuel,M,208660,56,College,Single
3066,"Ahmedabad, India",08-Sep-14,Gold,Entertainment,F,155187,37,Graduate,Single
3067,"Ahmedabad, India",23-Jan-15,Platinum,Entertainment,F,203780,48,Uneducated,Married
3068,"Bengaluru, India",03-Mar-15,Gold,Bills,M,274151,43,Graduate,Divorced
3069,"Ahmedabad, India",18-Mar-15,Gold,Food,M,55735,45,Unknown,Married
3070,"Greater Mumbai, India",05-Jun-14,Platinum,Grocery,F,280705,54,Graduate,Single
3071,"Bengaluru, India",19-Jul-14,Signature,Entertainment,F,163874,46,Post-Graduate,Single
3072,"Bengaluru, India",30-Apr-15,Gold,Fuel,M,7928,44,Doctorate,Married
3073,"Ahmedabad, India",07-Mar-15,Silver,Bills,F,169317,44,Graduate,Single
3074,"Bengaluru, India",14-Nov-14,Silver,Food,M,121010,38,Graduate,Single
3075,"Greater Mumbai, India",18-Apr-15,Silver,Entertainment,M,141940,55,Post-Graduate,Divorced
3076,"Ahmedabad, India",10-Oct-14,Platinum,Fuel,M,20658,50,Unknown,Single
3077,"Greater Mumbai, India",14-Dec-13,Silver,Food,M,245540,42,Graduate,Married
3078,"Bengaluru, India",05-Dec-13,Platinum,Entertainment,F,171962,49,Uneducated,Divorced
3079,"Greater Mumbai, India",30-Dec-14,Gold,Grocery,M,17598,31,Graduate,Single
3080,"Greater Mumbai, India",02-Jan-14,Gold,Grocery,F,208778,51,Unknown,Unknown
3081,"Greater Mumbai, India",28-Nov-13,Gold,Food,F,210491,47,High School,Married
3082,"Greater Mumbai, India",17-Jun-14,Silver,Grocery,F,124712,30,Graduate,Married
3083,"Greater Mumbai, India",21-Mar-15,Signature,Bills,F,240475,46,Unknown,Unknown
3084,"Delhi, India",12-Mar-14,Signature,Fuel,M,239028,45,High School,Divorced
3085,"Ahmedabad, India",28-Nov-14,Gold,Entertainment,M,35621,53,College,Married
3086,"Bengaluru, India",26-Jan-14,Gold,Food,F,48182,62,Unknown,Single
3087,"Delhi, India",06-Dec-14,Silver,Grocery,M,78975,65,Unknown,Single
3088,"Greater Mumbai, India",22-Feb-14,Platinum,Bills,M,25797,44,Unknown,Married
3089,"Greater Mumbai, India",15-Nov-14,Signature,Bills,F,50519,51,Post-Graduate,Married
3090,"Bengaluru, India",17-Nov-13,Platinum,Entertainment,F,88709,28,Uneducated,Single
3091,"Bengaluru, India",07-Feb-14,Platinum,Entertainment,F,150389,49,Unknown,Single
3092,"Bengaluru, India",24-Aug-14,Gold,Fuel,F,41880,44,High School,Married
3093,"Ahmedabad, India",09-Jan-15,Signature,Entertainment,M,161240,55,College,Single
3094,"Greater Mumbai, India",29-Dec-14,Gold,Food,M,90008,49,Graduate,Single
3095,"Bengaluru, India",19-Nov-13,Silver,Entertainment,F,26157,34,High School,Single
3096,"Ahmedabad, India",14-Jul-14,Platinum,Bills,F,142175,50,Unknown,Married
3097,"Bengaluru, India",08-Apr-15,Gold,Grocery,M,49381,42,Graduate,Divorced
3098,"Bengaluru, India",23-Jan-14,Gold,Entertainment,F,25016,53,Uneducated,Divorced
3099,"Ahmedabad, India",15-Aug-14,Silver,Bills,M,66409,53,High School,Single
3100,"Ahmedabad, India",28-Dec-14,Silver,Entertainment,F,251092,32,High School,Married
3101,"Greater Mumbai, India",25-Aug-14,Silver,Grocery,M,110820,48,Unknown,Married
3102,"Greater Mumbai, India",07-Apr-15,Silver,Bills,F,6849,35,Graduate,Single
3103,"Greater Mumbai, India",12-May-15,Gold,Fuel,F,192205,45,Graduate,Married
3104,"Greater Mumbai, India",05-Dec-13,Silver,Grocery,M,273180,45,College,Single
3105,"Delhi, India",02-Mar-14,Signature,Food,M,43138,53,Unknown,Single
3106,"Ahmedabad, India",10-Dec-13,Gold,Food,F,216876,42,Unknown,Single
3107,"Delhi, India",10-Aug-14,Silver,Grocery,F,235080,43,Graduate,Married
3108,"Greater Mumbai, India",08-Jun-14,Platinum,Bills,F,120041,55,Unknown,Single
3109,"Ahmedabad, India",19-Jun-14,Gold,Bills,M,144821,38,Graduate,Married
3110,"Greater Mumbai, India",11-Feb-15,Platinum,Food,F,235466,39,Uneducated,Single
3111,"Greater Mumbai, India",04-May-14,Silver,Grocery,M,27046,51,College,Married
3112,"Greater Mumbai, India",03-Oct-14,Gold,Entertainment,F,267516,44,High School,Married
3113,"Greater Mumbai, India",10-Oct-14,Signature,Entertainment,M,295952,42,Unknown,Single
3114,"Ahmedabad, India",19-Nov-14,Gold,Entertainment,M,233970,63,College,Single
3115,"Bengaluru, India",20-Nov-14,Platinum,Fuel,F,58087,39,Graduate,Divorced
